gp_title,year,clean_weather,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
Brazilian Grand Prix,2012,rain,20,0,0,0,1,0
US Grand Prix,2012,dry,19,0,0,1,0,0
Abu Dhabi Grand Prix,2012,dry,18,0,0,1,0,0
Indian Grand Prix,2012,dry,17,0,0,1,0,0
Korean Grand Prix,2012,"fine,dry",16,1,0,1,0,0
Japanese Grand Prix,2012,"fine,dry",15,1,0,1,0,0
Singapore Grand Prix,2012,"hot,humid",14,1,0,0,1,0
Italian Grand Prix,2012,"dry,sunny",13,1,0,1,0,0
Belgian Grand Prix,2012,"fine,dry",12,1,0,1,0,0
Hungarian Grand Prix,2012,"fine,dry",11,1,0,1,0,0
German Grand Prix,2012,"fine,dry",10,1,0,1,0,0
British Grand Prix,2012,dry,9,0,0,1,0,0
Spanish Grand Prix,2012,"partly cloudy,dry",8,0,0,1,0,1
Canadian Grand Prix,2012,"fine,dry",7,1,0,1,0,0
Monaco Grand Prix,2012,"fine,dry",6,1,0,1,0,0
Spanish Grand Prix,2012,"parly cloudy,dry",5,0,0,1,0,0
Bahrain Grand Prix,2012,"sunny,hot",4,1,0,0,0,0
Chinese Grand Prix,2012,overcast,3,0,0,0,0,1
Malaysian Grand Prix,2012,rain,2,0,0,0,1,0
Australian Grand Prix,2012,fine,1,1,0,0,0,0
Brazilian Grand Prix,2011,fine,19,1,0,0,0,0
Abu Dhabi Grand Prix,2011,"fine,dry",18,1,0,1,0,0
Indian Grand Prix,2011,sunny,17,1,0,0,0,0
Korean Grand Prix,2011,"dry,rain",16,0,0,1,1,0
Japanese Grand Prix,2011,"sunny,dry",15,1,0,1,0,0
Singapore Grand Prix,2011,"hot,humid",14,1,0,0,1,0
Italian Grand Prix,2011,sunny,13,1,0,0,0,0
Belgian Grand Prix,2011,"cloudy,dry",12,0,0,1,0,1
Hungarian Grand Prix,2011,"cloudy,rain",11,0,0,0,1,1
German Grand Prix,2011,"cloudy,rain",10,0,0,0,1,1
British Grand Prix,2011,dry,9,0,0,1,0,0
Spanish Grand Prix,2011,"sunny,fine",8,1,0,0,0,0
Canadian Grand Prix,2011,"wet,heavy rain",7,0,0,0,1,0
Monaco Grand Prix,2011,"sunny,fine",6,1,0,0,0,0
Spanish Grand Prix,2011,"sunny,fine",5,1,0,0,0,0
Turkish Grand Prix,2011,"sunny,fine",4,1,0,0,0,0
Chinese Grand Prix,2011,"fine,dry",3,1,0,1,0,0
Malaysian Grand Prix,2011,"cloudy,dry",2,0,0,1,0,1
Australian Grand Prix,2011,sunny,1,1,0,0,0,0
