resultId,raceId,driverId,constructorId,grid,race_rank,statusId,year,round,circuitId,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10,driver_is_active,driver_avg_point,driver_avg_speed,race_end_bf_2019,race_end_in_2019,race_end_in_2020,race_end_in_2021,race_end_in_2022,race_end_in_2023,driver_most_won_circuit_id,driver_nber_of_races_won,driver_nber_of_times_in_top_10,age
125,23,12,4,17,17,3,2008,6,6,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
126,23,21,10,20,18,6,2008,6,6,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
127,23,14,9,15,20,3,2008,6,6,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
128,23,7,5,16,19,4,2008,6,6,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
129,24,9,2,2,4,1,2008,7,7,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
130,24,2,2,8,2,1,2008,7,7,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
131,24,14,9,13,7,1,2008,7,7,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
132,24,10,7,11,17,1,2008,7,7,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
133,24,13,6,6,6,1,2008,7,7,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
134,24,15,7,14,15,1,2008,7,7,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
135,24,22,11,9,10,1,2008,7,7,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
136,24,20,5,19,12,1,2008,7,7,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
137,24,5,1,7,11,1,2008,7,7,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
138,24,3,3,5,5,1,2008,7,7,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
139,24,18,11,20,19,1,2008,7,7,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
140,24,17,9,10,8,1,2008,7,7,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
141,24,7,5,18,13,11,2008,7,7,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
142,24,21,10,17,16,20,2008,7,7,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
143,24,6,3,12,14,3,2008,7,7,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
144,24,4,4,4,9,20,2008,7,7,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
145,24,12,4,15,18,23,2008,7,7,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
146,24,8,6,3,1,4,2008,7,7,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
147,24,1,1,1,3,4,2008,7,7,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
148,24,16,10,16,20,6,2008,7,7,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
149,25,13,6,2,2,1,2008,8,8,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
150,25,8,6,1,1,1,2008,8,8,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
151,25,15,7,4,7,1,2008,8,8,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
152,25,5,1,10,3,1,2008,8,8,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
153,25,9,2,5,4,1,2008,8,8,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
154,25,17,9,6,6,1,2008,8,8,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
155,25,12,4,9,10,1,2008,8,8,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
156,25,4,4,3,8,1,2008,8,8,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
157,25,14,9,7,12,1,2008,8,8,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
158,25,1,1,13,5,1,2008,8,8,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
159,25,10,7,8,13,1,2008,8,8,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
160,25,20,5,12,11,1,2008,8,8,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
161,25,2,2,11,9,1,2008,8,8,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
162,25,22,11,20,14,11,2008,8,8,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
163,25,6,3,15,15,11,2008,8,8,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
164,25,3,3,19,17,11,2008,8,8,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
165,25,7,5,14,16,11,2008,8,8,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
166,25,21,10,17,19,11,2008,8,8,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
167,25,16,10,18,18,11,2008,8,8,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
168,25,18,11,16,20,4,2008,8,8,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
169,26,1,1,4,3,1,2008,9,9,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
170,26,2,2,5,2,1,2008,9,9,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
171,26,22,11,16,11,1,2008,9,9,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
172,26,8,6,3,1,11,2008,9,9,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
173,26,5,1,1,5,11,2008,9,9,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
174,26,4,4,6,6,11,2008,9,9,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
175,26,15,7,14,13,11,2008,9,9,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
176,26,6,3,15,14,11,2008,9,9,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
177,26,3,3,20,16,11,2008,9,9,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
178,26,17,9,2,4,11,2008,9,9,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
